Team Run Average Reggression
Team,Season Avg. R,3 Game Avg. R,Season Avg. RA,3 Game Avg. RA
Chicago White Sox,3.13,1.54,5.02,-2.02
St. Louis Cardinals,4.15,1.52,4.44,-1.1
Philadelphia Phillies,4.84,-1.51,4.14,1.86
Pittsburgh Pirates,4.1,1.56,4.56,-0.56
Cincinnati Reds,4.31,-3.31,4.28,-2.95
Los Angeles Dodgers,5.2,3.47,4.23,-1.9
Los Angeles Angels,3.92,-0.59,4.92,2.41
San Diego Padres,4.69,-0.69,4.13,0.54
Washington Nationals,4.07,1.93,4.72,-1.38
Atlanta Braves,4.35,-0.35,3.75,0.25
Colorado Rockies,4.21,-1.88,5.73,2.93
Toronto Blue Jays,4.14,-1.81,4.59,4.08
San Francisco Giants,4.28,-0.94,4.31,1.35
Miami Marlins,3.93,4.73,5.19,-2.86
New York Mets,4.74,-0.41,4.3,-0.97
Texas Rangers,4.22,3.12,4.56,-1.22
Milwaukee Brewers,4.8,-0.13,3.96,-0.96
Boston Red Sox,4.64,-2.64,4.61,-1.28
Baltimore Orioles,4.85,2.48,4.31,-2.31
Arizona Diamondbacks,5.47,-0.8,4.86,-0.86
Detroit Tigers,4.21,-1.21,3.96,0.7
New York Yankees,5.03,-1.03,4.12,1.54
Oakland Athletics,3.97,-0.64,4.72,0.28
Minnesota Twins,4.58,-2.58,4.54,2.8
Seattle Mariners,4.17,0.83,3.75,-0.41
Kansas City Royals,4.54,-2.87,3.98,-1.64
Houston Astros,4.6,-1.26,4.03,0.3
Tampa Bay Rays,3.73,-0.4,4.09,-2.09
Chicago Cubs,4.54,-3.21,4.13,-3.13
Cleveland Guardians,4.4,-1.06,3.86,-0.19
