Team Run Average Reggression
Team,Season Avg. R,5 Game Avg. R,Season Avg. RA,5 Game Avg. RA
Chicago White Sox,3.13,1.87,5.02,-2.62
St. Louis Cardinals,4.15,1.85,4.44,-0.04
Philadelphia Phillies,4.84,-0.24,4.14,2.66
Pittsburgh Pirates,4.1,0.1,4.56,-0.96
Cincinnati Reds,4.31,-3.11,4.28,-1.28
Los Angeles Dodgers,5.2,2.2,4.23,-1.83
Los Angeles Angels,3.92,-1.32,4.92,1.68
San Diego Padres,4.69,-1.29,4.13,0.87
Washington Nationals,4.07,0.33,4.72,-0.72
Atlanta Braves,4.35,-0.95,3.75,-1.15
Colorado Rockies,4.21,-0.41,5.73,2.07
Toronto Blue Jays,4.14,-0.54,4.59,2.01
San Francisco Giants,4.28,0.32,4.31,0.69
Miami Marlins,3.93,3.47,5.19,-0.99
New York Mets,4.74,-1.34,4.3,0.5
Texas Rangers,4.22,1.58,4.56,-1.76
Milwaukee Brewers,4.8,-0.8,3.96,-1.36
Boston Red Sox,4.64,-2.04,4.61,-0.41
Baltimore Orioles,4.85,1.55,4.31,0.29
Arizona Diamondbacks,5.47,-1.07,4.86,0.14
Detroit Tigers,4.21,-0.21,3.96,-0.36
New York Yankees,5.03,0.77,4.12,1.28
Oakland Athletics,3.97,-1.17,4.72,-0.32
Minnesota Twins,4.58,-0.58,4.54,2.06
Seattle Mariners,4.17,1.03,3.75,-0.75
Kansas City Royals,4.54,-1.54,3.98,-1.78
Houston Astros,4.6,-1.6,4.03,0.37
Tampa Bay Rays,3.73,-0.93,4.09,-0.69
Chicago Cubs,4.54,-0.54,4.13,-0.93
Cleveland Guardians,4.4,-1.0,3.86,-1.06
